solvent,SMILES,ET30,alpha,beta,pi_star,SA,SB,SP,SdP,N_mol_cm3,n,fn,delta
halohydrocarbon,Clc1ccccc1Cl,-0.5256278988496237,-0.5557874682470157,-1.3769822447581428,0.7967273721839546,-0.4282324582370385,-0.9052329670986415,1.6486841930741505,0.4884623095368899,-0.15745391044843263,1.869165716001109,1.6000507935630202,-0.04669659271271882
halohydrocarbon,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,-0.5803176151277224,-1.1930910549803952,-4.488322204619253,-1.5013410418257924,-0.9723588398562205,,,
halohydrocarbon,Fc1c(F)c(F)c(F)c(F)c1F,-1.053933369284296,-0.5557874682470157,-1.4109119920622448,-0.9839304470467578,-0.5803176151277224,-0.9879508084439731,-1.19981311604392,-0.7595800291876327,-0.22248373025154805,-0.9556592903267895,-0.7795353368983011,-0.7664238932390287
halohydrocarbon,FC(F)(F)c1ccccc1,-0.4561140211608509,,,,-0.5157966394771293,-1.1401516365193831,-0.3776858439000873,0.4501968604722229,-0.3301893693004575,-0.33874348434713275,-0.23387392438824936,-0.7869875303969235
halohydrocarbon,Brc1cccc2ccccc12,,,,,-0.5803176151277224,-0.7133275751774725,2.7487136417173073,0.4678578369636077,-0.5293431924474978,,,
ether,CC1CCCO1,-0.7341695319159419,-0.5557874682470157,0.048067142014144595,,-0.5803176151277224,0.5506010405791931,-0.30821029977525627,0.759263949071456,0.023410275878981635,-0.4848551226054743,-0.3618718757067188,
ether,C1COCCO1,-0.8036834096047146,-0.5557874682470157,-0.2233708364186721,-0.1504310423004668,-0.5803176151277224,0.07414627443008365,0.12022222232786856,-0.5829702642737852,0.3932673760091996,-0.2251010990350925,-0.13500285552011937,-0.04669659271271882
ether,CCCOCCC,-1.0817389203598056,-0.5557874682470157,0.0819968893182467,-1.211248466523019,-0.5803176151277224,0.8219155601918807,-0.9450694542528729,-0.6595011624031192,-0.4907317369393982,-0.8923442470815088,-0.7228848866279141,-1.0543148134495526
ether,CC(C)OC(C)C,-1.0678361448220508,-0.5557874682470157,0.18378613123055285,-1.211248466523019,-0.5803176151277224,0.7921371373075614,-1.1766546013356431,-0.5476483112910157,-0.5496650111359714,-1.1374871068260584,-0.9428062100832386,-1.280514822186393
ether,CCCCOCCCC,-1.220766675737351,-0.5557874682470157,0.0819968893182467,-1.211248466523019,-0.5803176151277224,0.7259628642312961,-0.6324295056911332,-0.9862292274937371,-0.7813337441845694,-0.5952505826228852,-0.4588724108395047,-1.0131875391337632
ether,COC(C)(C)C,-0.9844194915955233,,,,-0.5803176151277224,0.49435290846436764,-1.2113923733980587,-0.2591856952650648,-0.2773526407104264,-1.1277463309421665,-0.9342551987216711,-1.136569362081131
ether,CCCCCCOCCCCCC,,,,,-0.5803176151277224,0.6630973048088441,-0.5282161895038866,-0.889093856791121,-1.1207081162820771,,,
ether,c1ccc(COCc2ccccc2)cc1,-0.7619750829914513,-0.5557874682470157,-0.08765184720226385,0.7967273721839546,-0.5803176151277224,-0.289812227489375,1.7413182519072585,-0.003101536139985795,-0.9154577475284945,2.0477466072057484,1.7403408237137432,
ether,COc1ccccc1,-0.6507528786894143,-0.5557874682470157,-0.39301957293918244,0.5315230161283163,-0.19319176122416334,-0.3923823507575862,1.0813005827213635,0.09697733064452789,-0.12290681867802766,1.3009537894409007,1.145511095874675,-0.10838750418640267
ether,CCOc1ccccc1.CCOc1ccccc1,-0.7202667563781872,-0.5557874682470157,-0.46087906754738667,0.3799776698108088,-0.5803176151277224,-0.40561720537283924,0.9655080091799797,0.4678578369636077,-0.3728651885462519,1.154842151182559,1.0268658132329203,-0.25233296429166446
ether,COCCOC,-0.49782234777411416,-0.5557874682470157,-0.08765184720226385,-0.2262037154592206,-0.5803176151277224,0.7226541505774828,-0.5397954468580252,0.3383440093601194,-0.02129772523566003,-0.9556592903267895,-0.7795353368983011,-0.5402238845021882
ether,COc1ccccc1OC,-0.47001679669860563,,,,-0.5803176151277224,-0.25672509095124235,1.4402575606996573,0.2824175838040676,-0.39318700723472527,1.5769424394844296,1.3678373912754422,
ether,CC12CCC(CC1)C(C)(C)O2,,-0.5557874682470157,0.5909430988797778,,-0.5803176151277224,1.056834229612622,0.10864296497373005,-0.4917218857349639,-0.7630441073649432,0.3690862298821548,0.37404953959822096,
ketone,CC(C)=O,0.05828867373606777,-0.37271450882443796,-0.019792352594059627,0.45575034296956257,-0.5803176151277224,0.1899512523135477,-0.8755939101280419,1.1684099044552028,0.7814141129590434,-1.2478825668434692,-1.0427461553715633,-0.2112056899758755
ketone,CCC(C)=O,-0.06683630610372396,-0.4184827486800824,0.14985638392645073,0.30420499665205547,-0.5803176151277224,0.3388433667351446,-0.6671672777535488,1.0653875415887917,0.2855617369602898,-0.9264369626751212,-0.7533478646034999,-0.35515115008113735
ketone,CC(=O)C(C)C,-0.12244740825474196,,,,,,,,-0.07210227195684385,-1.5888097227795934,-1.3543236318586944,
ketone,CCCC(C)=O,-0.09464185717923246,-0.4413668686079046,0.21771587853465496,0.22843232349330167,-0.5342312039487274,0.3950914988499701,-0.43558213067077983,0.803416390299918,-0.07210227195684385,-0.7446091461758562,-0.5911458678387579,-0.49909661018639917
ketone,CC(=O)CC(C)C,-0.33098904132106016,,,,,,,,-0.3586399154643203,-0.6634360138101101,-6.284943670580775,
ketone,CCC(=O)CC,-0.3448918168588149,-0.5557874682470157,0.048067142014144595,0.49363667954893947,-0.5803176151277224,0.46126577192623536,-0.4008443586083643,0.8093033824637129,-0.07210227195684385,-0.7121398932295584,-0.5622862044934663,-0.478532973028505
ketone,CC(C)C(=O)C(C)C,-0.4283084700853414,,,,,,,,-0.541536283660582,-0.5984975079175145,-0.46181182099504364,
ketone,CCCCC(C)=O,-0.23366961255677793,-0.5100192283913713,0.14985638392645073,0.22843232349330167,,,,,-0.3383180967758469,-0.5660282549712169,-0.43321937675480054,
ketone,CCCCCC(C)=O,-0.09464185717923246,-0.4413668686079046,0.14985638392645073,0.07688697717579411,,,,,-0.5232466468409559,-0.570898642913161,-0.43749488243558504,
ketone,CCCC(=O)CCC,-0.4005029190098329,,,,,,,,-0.5232466468409559,-0.46862049613232365,-0.34770926313912187,
ketone,CC(C)CC(=O)CC(C)C,-0.5256278988496237,,,,,,,,-0.8260417452992111,-0.3874473637665812,-0.2763617620910394,
